period,hour,trips_per_day
Weekday,0,893.6769230769231
Weekday,1,472.24615384615385
Weekday,2,283.71923076923076
Weekday,3,182.3923076923077
Weekday,4,208.66153846153847
Weekday,5,655.3846153846154
Weekday,6,1954.05
Weekday,7,4000.65
Weekday,8,5856.2692307692305
Weekday,9,4457.192307692308
Weekday,10,3469.7115384615386
Weekday,11,3624.3
Weekday,12,4125.096153846154
Weekday,13,4415.180769230769
Weekday,14,4909.634615384615
Weekday,15,5510.573076923077
Weekday,16,6353.95
Weekday,17,8068.0
Weekday,18,7775.15
Weekday,19,5767.346153846154
Weekday,20,3997.6115384615387
Weekday,21,2934.3653846153848
Weekday,22,2404.2192307692308
Weekday,23,1740.426923076923
Weekend,0,1788.2952380952381
Weekend,1,1314.1333333333334
Weekend,2,928.8365384615385
Weekend,3,594.6476190476191
Weekend,4,384.8857142857143
Weekend,5,292.6
Weekend,6,602.2952380952381
Weekend,7,1115.5714285714287
Weekend,8,1921.2095238095237
Weekend,9,3067.1238095238095
Weekend,10,4212.7904761904765
Weekend,11,5096.361904761905
Weekend,12,5694.628571428571
Weekend,13,6010.847619047619
Weekend,14,6154.314285714286
Weekend,15,6203.666666666667
Weekend,16,6047.2095238095235
Weekend,17,5694.828571428571
Weekend,18,5186.847619047619
Weekend,19,4339.438095238095
Weekend,20,3216.9238095238097
Weekend,21,2435.390476190476
Weekend,22,2054.9333333333334
Weekend,23,1675.9809523809524
