peak_hour,trips,month,%_of_september_peak,month_label,peak_hour_str,pct_of_sept
2022-01-19 17:00:00,5134,2022-01,37.4,Jan,2022-01-19 17:00,37.4
2022-02-23 17:00:00,7687,2022-02,55.9,Feb,2022-02-23 17:00,55.9
2022-03-18 17:00:00,9981,2022-03,72.6,Mar,2022-03-18 17:00,72.6
2022-04-12 17:00:00,11985,2022-04,87.2,Apr,2022-04-12 17:00,87.2
2022-05-17 18:00:00,12366,2022-05,90.0,May,2022-05-17 18:00,90.0
2022-06-14 18:00:00,12790,2022-06,93.1,Jun,2022-06-14 18:00,93.1
2022-07-26 18:00:00,12623,2022-07,91.8,Jul,2022-07-26 18:00,91.8
2022-08-24 18:00:00,12676,2022-08,92.2,Aug,2022-08-24 18:00,92.2
2022-09-08 18:00:00,13745,2022-09,100.0,Sep,2022-09-08 18:00,100.0
2022-10-06 17:00:00,12701,2022-10,92.4,Oct,2022-10-06 17:00,92.4
2022-11-02 17:00:00,12128,2022-11,88.2,Nov,2022-11-02 17:00,88.2
2022-12-08 08:00:00,7761,2022-12,56.5,Dec,2022-12-08 08:00,56.5
